equipment-export-2026-06-02-101353;;;;;;;;;;;
Registration Number;Fleet ID;Type;Vin/Serial ID;Make;Model;Engine Capacity;Fuel Consumption;Loading/Carrying Capacity (Tonnes);Location;Company;Status
;2HGT800;;;;;;;;;;AVAILABLE
;2TMT780;;;;;;;;;;AVAILABLE
;1MMX533;;;;;;;;;;AVAILABLE
;2DCT831;;;;;;;;;;AVAILABLE
;2BQL832;;;;;;;;;;AVAILABLE
;2MLT534;;;;;;;;;;AVAILABLE
;2PAZ502;;;;;;;;;;AVAILABLE
;2RAT710;;;;;;;;;;AVAILABLE
;2UCT566;;;;;;;;;;AVAILABLE
;2PAT517;;;;;;;;;;AVAILABLE
;2MLT211;;;;;;;;;;AVAILABLE
;2EGG515;;;;;;;;;;AVAILABLE
;2MLT212;;;;;;;;;;AVAILABLE
;2MLT649;;;;;;;;;;AVAILABLE
;2EST558;;;;;;;;;;AVAILABLE
;2BRS536;;;;;;;;;;AVAILABLE
;2MLT648;;;;;;;;;;AVAILABLE
;1MMX485;;;;;;;;;;AVAILABLE
;1MMP78;;;;;;;;;;AVAILABLE
;2PAC537;;;;;;;;;;AVAILABLE
;2EST557;;;;;;;;;;AVAILABLE
;2RAL503;;;;;;;;;;AVAILABLE
;2VES484;;;;;;;;;;AVAILABLE
;2KHT473;;;;;;;;;;AVAILABLE
;3MMQ450;;;;;;;;;;AVAILABLE
;3MMX442;;;;;;;;;;AVAILABLE
;3MMX405;;;;;;;;;;AVAILABLE
;3MMX391;;;;;;;;;;AVAILABLE
;3MMX402;;;;;;;;;;AVAILABLE
;1MMX364;;;;;;;;;;AVAILABLE
;2CCZ312;;;;;;;;;;AVAILABLE
;2ATS335;;;;;;;;;;AVAILABLE
;2MLZ261;;;;;;;;;;AVAILABLE
;2EST112;;;;;;;;;;AVAILABLE
;2SCB647;;;;;;;;;;AVAILABLE
;2RAL526;;;;;;;;;;AVAILABLE
;2CMJ651;;;;;;;;;;AVAILABLE
;1MMM616;;;;;;;;;;AVAILABLE
;2RAT524;;;;;;;;;;AVAILABLE
;2KHT544;;;;;;;;;;AVAILABLE
;2SCB677;;;;;;;;;;AVAILABLE
;2MUT676;;;;;;;;;;AVAILABLE
;2HGT697;;;;;;;;;;AVAILABLE
;2MUT675;;;;;;;;;;AVAILABLE
;2BRS511;;;;;;;;;;AVAILABLE
;2HGT668;;;;;;;;;;AVAILABLE
;2KTT644;;;;;;;;;;AVAILABLE
;2RAZ572;;;;;;;;;;AVAILABLE
;2PAT598;;;;;;;;;;AVAILABLE
;2RAT570;;;;;;;;;;AVAILABLE
;1MMM607;;;;;;;;;;AVAILABLE
;2MLS545;;;;;;;;;;AVAILABLE
;3MMQ455;;;;;;;;;;AVAILABLE
;2KHT491;;;;;;;;;;AVAILABLE
;3MMX439;;;;;;;;;;AVAILABLE
;1MMX478;;;;;;;;;;AVAILABLE
;3MMX437;;;;;;;;;;AVAILABLE
;2CCL381;;;;;;;;;;AVAILABLE
;2BDT95;;;;;;;;;;AVAILABLE
;1MMM618;;;;;;;;;;AVAILABLE
;2MLZ563;;;;;;;;;;AVAILABLE
;2PAL553;;;;;;;;;;AVAILABLE
;2MLN653;;;;;;;;;;AVAILABLE
;2HGT706;;;;;;;;;;AVAILABLE
;1MMM617;;;;;;;;;;AVAILABLE
;2KTT643;;;;;;;;;;AVAILABLE
;2HGT667;;;;;;;;;;AVAILABLE
;2CMT599;;;;;;;;;;AVAILABLE
;2RUT604;;;;;;;;;;AVAILABLE
;2SCB551;;;;;;;;;;AVAILABLE
;2KCT589;;;;;;;;;;AVAILABLE
;2PAZ594;;;;;;;;;;AVAILABLE
;2MLS497;;;;;;;;;;AVAILABLE
;3MMQ447;;;;;;;;;;AVAILABLE
;2KPT480;;;;;;;;;;AVAILABLE
;2EST590;;;;;;;;;;AVAILABLE
;2EGH540;;;;;;;;;;AVAILABLE
;3MMQ458;;;;;;;;;;AVAILABLE
;2RAL525;;;;;;;;;;AVAILABLE
;3MMX417;;;;;;;;;;AVAILABLE
;1MMP377;;;;;;;;;;AVAILABLE
;2TIL488;;;;;;;;;;AVAILABLE
;2GCT382;;;;;;;;;;AVAILABLE
;3MMQ448;;;;;;;;;;AVAILABLE
;2PAT504;;;;;;;;;;AVAILABLE
;3MMX432;;;;;;;;;;AVAILABLE
;2EGH337;;;;;;;;;;AVAILABLE
;1MMM313;;;;;;;;;;AVAILABLE
;1MMM300;;;;;;;;;;AVAILABLE
;3MMX390;;;;;;;;;;AVAILABLE
;1MMM380;;;;;;;;;;AVAILABLE
;2MLJ327;;;;;;;;;;AVAILABLE
;2PAD210;;;;;;;;;;AVAILABLE
;1MMM267;;;;;;;;;;AVAILABLE
;2TIT326;;;;;;;;;;AVAILABLE
;2BDT308;;;;;;;;;;AVAILABLE
;2LLT354;;;;;;;;;;AVAILABLE
;2EST243;;;;;;;;;;AVAILABLE
;2AAT348;;;;;;;;;;AVAILABLE
;1MMM278;;;;;;;;;;AVAILABLE
;1MMP226;;;;;;;;;;AVAILABLE
;2MLD149;;;;;;;;;;AVAILABLE
;2SOJ171;;;;;;;;;;AVAILABLE
;2CRB221;;;;;;;;;;AVAILABLE
;2SOL174;;;;;;;;;;AVAILABLE
;2CCS103;;;;;;;;;;AVAILABLE
;2EST197;;;;;;;;;;AVAILABLE
;2SOL173;;;;;;;;;;AVAILABLE
;2EMZ142;;;;;;;;;;AVAILABLE
;2DBT104;;;;;;;;;;AVAILABLE
;2EGT125;;;;;;;;;;AVAILABLE
;1MMP77;;;;;;;;;;AVAILABLE
;1MMX65;;;;;;;;;;AVAILABLE
;2BST627;;;;;;;;;;AVAILABLE
;2CCS101;;;;;;;;;;AVAILABLE
;2MCT646;;;;;;;;;;AVAILABLE
;2FQT680;;;;;;;;;;AVAILABLE
;2TMT682;;;;;;;;;;AVAILABLE
;2UCT564;;;;;;;;;;AVAILABLE
;2UGT694;;;;;;;;;;AVAILABLE
;2HGT665;;;;;;;;;;AVAILABLE
;1MMM615;;;;;;;;;;AVAILABLE
;2HGT696;;;;;;;;;;AVAILABLE
;2MMP635;;;;;;;;;;AVAILABLE
;2EST591;;;;;;;;;;AVAILABLE
;2TMT684;;;;;;;;;;AVAILABLE
;2CMT600;;;;;;;;;;AVAILABLE
;2LRT520;;;;;;;;;;AVAILABLE
;2RAT538;;;;;;;;;;AVAILABLE
;1MMY620;;;;;;;;;;AVAILABLE
;2RUT603;;;;;;;;;;AVAILABLE
;2JSP508;;;;;;;;;;AVAILABLE
;1MMY494;;;;;;;;;;AVAILABLE
;3MMX433;;;;;;;;;;AVAILABLE
;2PAT516;;;;;;;;;;AVAILABLE
;2RAL499;;;;;;;;;;AVAILABLE
;2DST469;;;;;;;;;;AVAILABLE
;1MMX365;;;;;;;;;;AVAILABLE
;3MMQ449;;;;;;;;;;AVAILABLE
;2WTP463;;;;;;;;;;AVAILABLE
;2CCS349;;;;;;;;;;AVAILABLE
;1MMM376;;;;;;;;;;AVAILABLE
;2CRB475;;;;;;;;;;AVAILABLE
;3MMX403;;;;;;;;;;AVAILABLE
;3MMX410;;;;;;;;;;AVAILABLE
;2TLF358;;;;;;;;;;AVAILABLE
;2CCS321;;;;;;;;;;AVAILABLE
;2KCT345;;;;;;;;;;AVAILABLE
;1MMM316;;;;;;;;;;AVAILABLE
;2PAT255;;;;;;;;;;AVAILABLE
;1MMM314;;;;;;;;;;AVAILABLE
;2BRI339;;;;;;;;;;AVAILABLE
;2TLF184;;;;;;;;;;AVAILABLE
;2MLO260;;;;;;;;;;AVAILABLE
;2MLD331;;;;;;;;;;AVAILABLE
;1MMM285;;;;;;;;;;AVAILABLE
;1MMM301;;;;;;;;;;AVAILABLE
;1MMM297;;;;;;;;;;AVAILABLE
;1MMM282;;;;;;;;;;AVAILABLE
;1MMM299;;;;;;;;;;AVAILABLE
;2MLS220;;;;;;;;;;AVAILABLE
;1MMP224;;;;;;;;;;AVAILABLE
;2PAT254;;;;;;;;;;AVAILABLE
;2WTP189;;;;;;;;;;AVAILABLE
;2PAZ163;;;;;;;;;;AVAILABLE
;2MLS203;;;;;;;;;;AVAILABLE
;1MMP225;;;;;;;;;;AVAILABLE
;2EGL141;;;;;;;;;;AVAILABLE
;2EST117;;;;;;;;;;AVAILABLE
;2MLL158;;;;;;;;;;AVAILABLE
;2MLZ663;;;;;;;;;;AVAILABLE
;2TMT686;;;;;;;;;;AVAILABLE
;2TMT683;;;;;;;;;;AVAILABLE
;2ESK655;;;;;;;;;;AVAILABLE
;2UCZ626;;;;;;;;;;AVAILABLE
;1MMM609;;;;;;;;;;AVAILABLE
;1MMX70;;;;;;;;;;AVAILABLE
;2CCZ102;;;;;;;;;;AVAILABLE
;2LTT660;;;;;;;;;;AVAILABLE
;1MMM610;;;;;;;;;;AVAILABLE
;2MLS529;;;;;;;;;;AVAILABLE
;2RAT569;;;;;;;;;;AVAILABLE
;2RAT578;;;;;;;;;;AVAILABLE
;2UCT565;;;;;;;;;;AVAILABLE
;2RAT586;;;;;;;;;;AVAILABLE
;2PAZ556;;;;;;;;;;AVAILABLE
;2RAT579;;;;;;;;;;AVAILABLE
;2RAT546;;;;;;;;;;AVAILABLE
;2RAT580;;;;;;;;;;AVAILABLE
;2MLT542;;;;;;;;;;AVAILABLE
;2MLL489;;;;;;;;;;AVAILABLE
;2LRP507;;;;;;;;;;AVAILABLE
;2RAL498;;;;;;;;;;AVAILABLE
;2BRB506;;;;;;;;;;AVAILABLE
;2YIL481;;;;;;;;;;AVAILABLE
;3MMQ452;;;;;;;;;;AVAILABLE
;3MMX440;;;;;;;;;;AVAILABLE
;2KCT344;;;;;;;;;;AVAILABLE
;3MMX401;;;;;;;;;;AVAILABLE
;3MMQ451;;;;;;;;;;AVAILABLE
;1MMM374;;;;;;;;;;AVAILABLE
;1MMM293;;;;;;;;;;AVAILABLE
;2RIL320;;;;;;;;;;AVAILABLE
;1MMM273;;;;;;;;;;AVAILABLE
;2ZET347;;;;;;;;;;AVAILABLE
;1MMM305;;;;;;;;;;AVAILABLE
;3MMX386;;;;;;;;;;AVAILABLE
;2EGE230;;;;;;;;;;AVAILABLE
;1MMM288;;;;;;;;;;AVAILABLE
;2TIT181;;;;;;;;;;AVAILABLE
;2MLC258;;;;;;;;;;AVAILABLE
;1MMM304;;;;;;;;;;AVAILABLE
;1MMM275;;;;;;;;;;AVAILABLE
;2PAZ253;;;;;;;;;;AVAILABLE
;1MMM284;;;;;;;;;;AVAILABLE
;1MMM272;;;;;;;;;;AVAILABLE
;2EST239;;;;;;;;;;AVAILABLE
;2MLL201;;;;;;;;;;AVAILABLE
;1MMX249;;;;;;;;;;AVAILABLE
;2WTP191;;;;;;;;;;AVAILABLE
;2RAL168;;;;;;;;;;AVAILABLE
;2MLJ157;;;;;;;;;;AVAILABLE
;2EGG137;;;;;;;;;;AVAILABLE
;2LRT147;;;;;;;;;;AVAILABLE
;2ESL704;;;;;;;;;;AVAILABLE
;2EGT127;;;;;;;;;;AVAILABLE
;2RAS629;;;;;;;;;;AVAILABLE
;2MLZ152;;;;;;;;;;AVAILABLE
;2EGT130;;;;;;;;;;AVAILABLE
;2PAZ631;;;;;;;;;;AVAILABLE
;2MLG639;;;;;;;;;;AVAILABLE
;1MM612;;;;;;;;;;AVAILABLE
;2BRG472;;;;;;;;;;AVAILABLE
;2LTT669;;;;;;;;;;AVAILABLE
;2RAL531;;;;;;;;;;AVAILABLE
;2NTP622;;;;;;;;;;AVAILABLE
;2HGT664;;;;;;;;;;AVAILABLE
;2EGZ601;;;;;;;;;;AVAILABLE
;2MLL642;;;;;;;;;;AVAILABLE
;2MLV650;;;;;;;;;;AVAILABLE
;2BRB535;;;;;;;;;;AVAILABLE
;2RAT585;;;;;;;;;;AVAILABLE
;3MMQ454;;;;;;;;;;AVAILABLE
;2SCT561;;;;;;;;;;AVAILABLE
;3MMQ460;;;;;;;;;;AVAILABLE
;2MLL567;;;;;;;;;;AVAILABLE
;3MMX424;;;;;;;;;;AVAILABLE
;2CRB383;;;;;;;;;;AVAILABLE
;2MLT701;;;;;;;;;;AVAILABLE
;3MMX409;;;;;;;;;;AVAILABLE
;1MMM378;;;;;;;;;;AVAILABLE
;1MMM360;;;;;;;;;;AVAILABLE
;2RAZ352;;;;;;;;;;AVAILABLE
;3MMX397;;;;;;;;;;AVAILABLE
;3MMX438;;;;;;;;;;AVAILABLE
;1MMM295;;;;;;;;;;AVAILABLE
;1MMX375;;;;;;;;;;AVAILABLE
;2EGH338;;;;;;;;;;AVAILABLE
;2PAZ333;;;;;;;;;;AVAILABLE
;1MMM277;;;;;;;;;;AVAILABLE
;2MKW324;;;;;;;;;;AVAILABLE
;1MMM274;;;;;;;;;;AVAILABLE
;1MMM287;;;;;;;;;;AVAILABLE
;2UEP244;;;;;;;;;;AVAILABLE
;2LRP247;;;;;;;;;;AVAILABLE
;2MLJ215;;;;;;;;;;AVAILABLE
;1MMM279;;;;;;;;;;AVAILABLE
;2TIL183;;;;;;;;;;AVAILABLE
;1MMP227;;;;;;;;;;AVAILABLE
;2MLS223;;;;;;;;;;AVAILABLE
;2EST120;;;;;;;;;;AVAILABLE
;2RAL169;;;;;;;;;;AVAILABLE
;1MMX64;;;;;;;;;;AVAILABLE
;2RAL222;;;;;;;;;;AVAILABLE
;2ASS245;;;;;;;;;;AVAILABLE
;2ATS195;;;;;;;;;;AVAILABLE
;1MMX248;;;;;;;;;;AVAILABLE
;2MLZ150;;;;;;;;;;AVAILABLE
;2EGR231;;;;;;;;;;AVAILABLE
;2PAL162;;;;;;;;;;AVAILABLE
;2SLT170;;;;;;;;;;AVAILABLE
;2EGT126;;;;;;;;;;AVAILABLE
;2EGL139;;;;;;;;;;AVAILABLE
;2MLZ151;;;;;;;;;;AVAILABLE
;2EGW198;;;;;;;;;;AVAILABLE
;2EGT128;;;;;;;;;;AVAILABLE
;2EXZ703;;;;;;;;;;AVAILABLE
;2KCT692;;;;;;;;;;AVAILABLE
;2VET634;;;;;;;;;;AVAILABLE
;1MM611;;;;;;;;;;AVAILABLE
;2HGT699;;;;;;;;;;AVAILABLE
;1MMM705;;;;;;;;;;AVAILABLE
;2APT679;;;;;;;;;;AVAILABLE
;2VET185;;;;;;;;;;AVAILABLE
;2ESZ121;;;;;;;;;;AVAILABLE
;2EGL140;;;;;;;;;;AVAILABLE
;2CCS98;;;;;;;;;;AVAILABLE
;1MMP92;;;;;;;;;;AVAILABLE
;2UGT695;;;;;;;;;;AVAILABLE
;2CNT689;;;;;;;;;;AVAILABLE
;2KCT691;;;;;;;;;;AVAILABLE
;2RRP640;;;;;;;;;;AVAILABLE
;2SRP630;;;;;;;;;;AVAILABLE
;2SCB641;;;;;;;;;;AVAILABLE
;2MLS638;;;;;;;;;;AVAILABLE
;2RAZ573;;;;;;;;;;AVAILABLE
;2PAZ575;;;;;;;;;;AVAILABLE
;2RAT587;;;;;;;;;;AVAILABLE
;2RR583;;;;;;;;;;AVAILABLE
;2RAL532;;;;;;;;;;AVAILABLE
;2MLJ509;;;;;;;;;;AVAILABLE
;2MST482;;;;;;;;;;AVAILABLE
;2PAL501;;;;;;;;;;AVAILABLE
;3MMX418;;;;;;;;;;AVAILABLE
;2PAZ234;;;;;;;;;;AVAILABLE
;2RAT711;;;;;;;;;;AVAILABLE
;2HGT700;;;;;;;;;;AVAILABLE
;2TLF657;;;;;;;;;;AVAILABLE
;2PAT632;;;;;;;;;;AVAILABLE
;2PAZ592;;;;;;;;;;AVAILABLE
;2SDT177;;;;;;;;;;AVAILABLE
;1MMS32;;;;;;;;;;AVAILABLE
;2WBP188;;;;;;;;;;AVAILABLE
;2ESJ368;;;;;;;;;;AVAILABLE
;1MM75;;;;;;;;;;AVAILABLE
;1MMX62;;;;;;;;;;AVAILABLE
;1MMX72;;;;;;;;;;AVAILABLE
;1MMP76;;;;;;;;;;AVAILABLE
;2CRB97;;;;;;;;;;AVAILABLE
;1MMX51;;;;;;;;;;AVAILABLE
;2RAT568;;;;;;;;;;AVAILABLE
;2MLZ681;;;;;;;;;;AVAILABLE
;3MMX427;;;;;;;;;;AVAILABLE
;3MMX430;;;;;;;;;;AVAILABLE
;2EGT123;;;;;;;;;;AVAILABLE
;1MMP79;;;;;;;;;;AVAILABLE
;1MMP86;;;;;;;;;;AVAILABLE
;1MMZ23;;;;;;;;;;AVAILABLE
;1MMP81;;;;;;;;;;AVAILABLE
;1MMX55;;;;;;;;;;AVAILABLE
;1MMJ26;;;;;;;;;;AVAILABLE
;1MML10;;;;;;;;;;AVAILABLE
;1MMX54;;;;;;;;;;AVAILABLE
;1MMX56;;;;;;;;;;AVAILABLE
;1MMP90;;;;;;;;;;AVAILABLE
;1MMP84;;;;;;;;;;AVAILABLE
;1MMP89;;;;;;;;;;AVAILABLE
;1MMP85;;;;;;;;;;AVAILABLE
;1MMP19;;;;;;;;;;AVAILABLE
;1MML3;;;;;;;;;;AVAILABLE
;1MMP83;;;;;;;;;;AVAILABLE
;1MMP88;;;;;;;;;;AVAILABLE
;1MMJ28;;;;;;;;;;AVAILABLE
;1MMF45;;;;;;;;;;AVAILABLE
;3MMX408;;;;;;;;;;AVAILABLE
;1MMT11;;;;;;;;;;AVAILABLE
;1MMP20;;;;;;;;;;AVAILABLE
;1MMT12;;;;;;;;;;AVAILABLE
;1MMT14;;;;;;;;;;AVAILABLE
;1MML4;;;;;;;;;;AVAILABLE
;1MML9;;;;;;;;;;AVAILABLE
;1MML2;;;;;;;;;;AVAILABLE
;1MMT17;;;;;;;;;;AVAILABLE
;1MMS36;;;;;;;;;;AVAILABLE
;1MMP21;;;;;;;;;;AVAILABLE
;1MMS33;;;;;;;;;;AVAILABLE
;2HGT672;;;;;;;;;;AVAILABLE
;3MMX436;;;;;;;;;;AVAILABLE
;1MML1;;;;;;;;;;AVAILABLE
;3MMX444;;;;;;;;;;AVAILABLE
;1MML7;;;;;;;;;;AVAILABLE
;3MMX392;;;;;;;;;;AVAILABLE
;3MMX399;;;;;;;;;;AVAILABLE
;2MLL159;;;;;;;;;;AVAILABLE
;2RAJ310;;;;;;;;;;AVAILABLE
;2CNT690;;;;;;;;;;AVAILABLE
;2TMT687;;;;;;;;;;AVAILABLE
;1MML8;;;;;;;;;;AVAILABLE
;1MMX63;;;;;;;;;;AVAILABLE
;1MMX47;;;;;;;;;;AVAILABLE
;1MMS31;;;;;;;;;;AVAILABLE
;1MMX58;;;;;;;;;;AVAILABLE
;1MMX61;;;;;;;;;;AVAILABLE
;1MMX59;;;;;;;;;;AVAILABLE
;1MMX57;;;;;;;;;;AVAILABLE
;3MMX394;;;;;;;;;;AVAILABLE
;1MMZ24;;;;;;;;;;AVAILABLE
;1MMZ25;;;;;;;;;;AVAILABLE
;1MMP22;;;;;;;;;;AVAILABLE
;3MMX404;;;;;;;;;;AVAILABLE
;3MMX400;;;;;;;;;;AVAILABLE
;2KCT343;;;;;;;;;;AVAILABLE
;2PAW334;;;;;;;;;;AVAILABLE
;1MMP207;;;;;;;;;;AVAILABLE
;1MMX50;;;;;;;;;;AVAILABLE
;1MMX48;;;;;;;;;;AVAILABLE
;1MMX46;;;;;;;;;;AVAILABLE
;1MMS43;;;;;;;;;;AVAILABLE
;2TIL187;;;;;;;;;;AVAILABLE
;2PAZ160;;;;;;;;;;AVAILABLE
;2EST119;;;;;;;;;;AVAILABLE
;1MMX52;;;;;;;;;;AVAILABLE
;1MMS40;;;;;;;;;;AVAILABLE
;1MMT13;;;;;;;;;;AVAILABLE
;1MMX49;;;;;;;;;;AVAILABLE
;2SOL175;;;;;;;;;;AVAILABLE
;2RAL166;;;;;;;;;;AVAILABLE
;1MMX67;;;;;;;;;;AVAILABLE
;2EGD232;;;;;;;;;;AVAILABLE
;2ASZ93;;;;;;;;;;AVAILABLE
;1MMX53;;;;;;;;;;AVAILABLE
;2EST645;;;;;;;;;;AVAILABLE
;2TLF262;;;;;;;;;;AVAILABLE
;1MMX477;;;;;;;;;;AVAILABLE
;3MMQ457;;;;;;;;;;AVAILABLE
