equipment-export-2026-06-02-101353;;;;;;;;;;;
Registration Number;Fleet ID;Type;Vin/Serial ID;Make;Model;Engine Capacity;Fuel Consumption;Loading/Carrying Capacity (Tonnes);Location;Company;Status
;1MMM317;;;;;;;;;;AVAILABLE
;2EGO251;;;;;;;;;;AVAILABLE
;2TIT179;;;;;;;;;;AVAILABLE
;1MMM271;;;;;;;;;;AVAILABLE
;2PAZ164;;;;;;;;;;AVAILABLE
;2SOJ265;;;;;;;;;;AVAILABLE
;2TIL182;;;;;;;;;;AVAILABLE
;2EGZ228;;;;;;;;;;AVAILABLE
;1MMJ208;;;;;;;;;;AVAILABLE
;2PAZ233;;;;;;;;;;AVAILABLE
;2BIT202;;;;;;;;;;AVAILABLE
;1MMS209;;;;;;;;;;AVAILABLE
;1MMP205;;;;;;;;;;AVAILABLE
;2WTP190;;;;;;;;;;AVAILABLE
;2MLJ155;;;;;;;;;;AVAILABLE
;2HGT666;;;;;;;;;;AVAILABLE
;2SLT192;;;;;;;;;;AVAILABLE
;2HGT708;;;;;;;;;;AVAILABLE
;2PAD161;;;;;;;;;;AVAILABLE
;2EST118;;;;;;;;;;AVAILABLE
;1MMP204;;;;;;;;;;AVAILABLE
;2LRT148;;;;;;;;;;AVAILABLE
;2BIT94;;;;;;;;;;AVAILABLE
;1MMX66;;;;;;;;;;AVAILABLE
;2UCT625;;;;;;;;;;AVAILABLE
;2UCT581;;;;;;;;;;AVAILABLE
;2LTT658;;;;;;;;;;AVAILABLE
;2CCL325;;;;;;;;;;AVAILABLE
;2MLZ153;;;;;;;;;;AVAILABLE
;2EGT661;;;;;;;;;;AVAILABLE
;2PAZ361;;;;;;;;;;AVAILABLE
;2EGT132;;;;;;;;;;AVAILABLE
;1MMY621;;;;;;;;;;AVAILABLE
;2RAT539;;;;;;;;;;AVAILABLE
;2LRT521;;;;;;;;;;AVAILABLE
;2RAL513;;;;;;;;;;AVAILABLE
;2RR596;;;;;;;;;;AVAILABLE
;2SOJ466;;;;;;;;;;AVAILABLE
;1MMM493;;;;;;;;;;AVAILABLE
;2BRS518;;;;;;;;;;AVAILABLE
;1MMP492;;;;;;;;;;AVAILABLE
;2RIL483;;;;;;;;;;AVAILABLE
;2CCT486;;;;;;;;;;AVAILABLE
;3MMQ459;;;;;;;;;;AVAILABLE
;2BIT496;;;;;;;;;;AVAILABLE
;3MMX385;;;;;;;;;;AVAILABLE
;2RAL468;;;;;;;;;;AVAILABLE
;3MMQ462;;;;;;;;;;AVAILABLE
;3MMX443;;;;;;;;;;AVAILABLE
;3MMQ446;;;;;;;;;;AVAILABLE
;2SMP474;;;;;;;;;;AVAILABLE
;3MMX421;;;;;;;;;;AVAILABLE
;3MMX445;;;;;;;;;;AVAILABLE
;1MMP379;;;;;;;;;;AVAILABLE
;3MMX387;;;;;;;;;;AVAILABLE
;3MMX412;;;;;;;;;;AVAILABLE
;2YIL328;;;;;;;;;;AVAILABLE
;2PAZ362;;;;;;;;;;AVAILABLE
;2PAZ332;;;;;;;;;;AVAILABLE
;2MLW330;;;;;;;;;;AVAILABLE
;2WSS264;;;;;;;;;;AVAILABLE
;1MMM286;;;;;;;;;;AVAILABLE
;1MMM298;;;;;;;;;;AVAILABLE
;1MMM276;;;;;;;;;;AVAILABLE
;2SOL172;;;;;;;;;;AVAILABLE
;2MLL309;;;;;;;;;;AVAILABLE
;2EST241;;;;;;;;;;AVAILABLE
;1MMM289;;;;;;;;;;AVAILABLE
;2EST242;;;;;;;;;;AVAILABLE
;2MLG213;;;;;;;;;;AVAILABLE
;2PAW235;;;;;;;;;;AVAILABLE
;2MLZ186;;;;;;;;;;AVAILABLE
;2ESJ122;;;;;;;;;;AVAILABLE
;2EGD134;;;;;;;;;;AVAILABLE
;2LRT145;;;;;;;;;;AVAILABLE
;2ATS196;;;;;;;;;;AVAILABLE
;2KHT144;;;;;;;;;;AVAILABLE
;2EST110;;;;;;;;;;AVAILABLE
;2DBT105;;;;;;;;;;AVAILABLE
;2TIL673;;;;;;;;;;AVAILABLE
;2MLJ156;;;;;;;;;;AVAILABLE
;2LRT146;;;;;;;;;;AVAILABLE
;2PAT571;;;;;;;;;;AVAILABLE
;2EGT133;;;;;;;;;;AVAILABLE
;2KCT577;;;;;;;;;;AVAILABLE
;2RAT549;;;;;;;;;;AVAILABLE
;2LTT659;;;;;;;;;;AVAILABLE
;2EST111;;;;;;;;;;AVAILABLE
;1MMP91;;;;;;;;;;AVAILABLE
;2HGT707;;;;;;;;;;AVAILABLE
;2TMT685;;;;;;;;;;AVAILABLE
;2EST109;;;;;;;;;;AVAILABLE
;1MMT18;;;;;;;;;;AVAILABLE
;1MMS39;;;;;;;;;;AVAILABLE
;1MMS37;;;;;;;;;;AVAILABLE
;1MMS34;;;;;;;;;;AVAILABLE
;1MMZ29;;;;;;;;;;AVAILABLE
;1MMS41;;;;;;;;;;AVAILABLE
;1MMT15;;;;;;;;;;AVAILABLE
;1MMX68;;;;;;;;;;AVAILABLE
;1MMX74;;;;;;;;;;AVAILABLE
;2HGT670;;;;;;;;;;AVAILABLE
;2EXZ698;;;;;;;;;;AVAILABLE
;2RAJ500;;;;;;;;;;AVAILABLE
;2SDP505;;;;;;;;;;AVAILABLE
;1MMX476;;;;;;;;;;AVAILABLE
;2PAT548;;;;;;;;;;AVAILABLE
;1MMTD735;;;;;;;;;;AVAILABLE
;1MMDR733;;;;;;;;;;AVAILABLE
;2UFR747;;;;;;;;;;AVAILABLE
;1MMU727;;;;;;;;;;AVAILABLE
;2MEL777;;;;;;;;;;AVAILABLE
;2MEJ774;;;;;;;;;;AVAILABLE
;1MMU722;;;;;;;;;;AVAILABLE
;1MMDR734;;;;;;;;;;AVAILABLE
;2WTT749;;;;;;;;;;AVAILABLE
;2HGT763;;;;;;;;;;AVAILABLE
;2PAJ773;;;;;;;;;;AVAILABLE
;1MMX748;;;;;;;;;;AVAILABLE
;1MMU721;;;;;;;;;;AVAILABLE
;1MMTI726;;;;;;;;;;AVAILABLE
;1MMY720;;;;;;;;;;AVAILABLE
;2MEJ775;;;;;;;;;;AVAILABLE
;2HGT760;;;;;;;;;;AVAILABLE
;1MMDR732;;;;;;;;;;AVAILABLE
;2MLC755;;;;;;;;;;AVAILABLE
;2HGT764;;;;;;;;;;AVAILABLE
;2MLS754;;;;;;;;;;AVAILABLE
;2APT752;;;;;;;;;;AVAILABLE
;2MLZ751;;;;;;;;;;AVAILABLE
;2HGT759;;;;;;;;;;AVAILABLE
;2UFL739;;;;;;;;;;AVAILABLE
;2HGT757;;;;;;;;;;AVAILABLE
;1MMZ725;;;;;;;;;;AVAILABLE
;2MEJ779;;;;;;;;;;AVAILABLE
;2UFL738;;;;;;;;;;AVAILABLE
;1MMX745;;;;;;;;;;AVAILABLE
;1MMU723;;;;;;;;;;AVAILABLE
;1MMYK730;;;;;;;;;;AVAILABLE
;2WTP770;;;;;;;;;;AVAILABLE
;2UFZ762;;;;;;;;;;AVAILABLE
;1MMCN737;;;;;;;;;;AVAILABLE
;2MEJ778;;;;;;;;;;AVAILABLE
;2MEJ746;;;;;;;;;;AVAILABLE
;1MMYK731;;;;;;;;;;AVAILABLE
;1MMX750;;;;;;;;;;AVAILABLE
;1MMM729;;;;;;;;;;AVAILABLE
;2TIL741;;;;;;;;;;AVAILABLE
;2HGT758;;;;;;;;;;AVAILABLE
;1MMTD736;;;;;;;;;;AVAILABLE
;2PAL772;;;;;;;;;;AVAILABLE
;1MMU728;;;;;;;;;;AVAILABLE
;2HGT765;;;;;;;;;;AVAILABLE
;2MEL776;;;;;;;;;;AVAILABLE
;1MMU724;;;;;;;;;;AVAILABLE
;3MMX413;;;;;;;;;;AVAILABLE
;2TST815;;;;;;;;;;AVAILABLE
;2HGL830;;;;;;;;;;AVAILABLE
;2HGT798;;;;;;;;;;AVAILABLE
;2TMT829;;;;;;;;;;AVAILABLE
;2SCB827;;;;;;;;;;AVAILABLE
;2HGT802;;;;;;;;;;AVAILABLE
;2MHT792;;;;;;;;;;AVAILABLE
;2UFT807;;;;;;;;;;AVAILABLE
;2MEZ824;;;;;;;;;;AVAILABLE
;1MMX788;;;;;;;;;;AVAILABLE
;2SIT819;;;;;;;;;;AVAILABLE
;2TST786;;;;;;;;;;AVAILABLE
;2HGL795;;;;;;;;;;AVAILABLE
;2CRT823;;;;;;;;;;AVAILABLE
;2TIL828;;;;;;;;;;AVAILABLE
;2TST814;;;;;;;;;;AVAILABLE
;2SIZ822;;;;;;;;;;AVAILABLE
;2ESG790;;;;;;;;;;AVAILABLE
;2UFT808;;;;;;;;;;AVAILABLE
;2HGT810;;;;;;;;;;AVAILABLE
;2SIT821;;;;;;;;;;AVAILABLE
;2MLW804;;;;;;;;;;AVAILABLE
;2SIL784;;;;;;;;;;AVAILABLE
;2HGT796;;;;;;;;;;AVAILABLE
;2TST811;;;;;;;;;;AVAILABLE
;2MLJ806;;;;;;;;;;AVAILABLE
;2SIT820;;;;;;;;;;AVAILABLE
;2FEL782;;;;;;;;;;AVAILABLE
;2WTP793;;;;;;;;;;AVAILABLE
;2TST812;;;;;;;;;;AVAILABLE
;2MOJ799;;;;;;;;;;AVAILABLE
;2TMT781;;;;;;;;;;AVAILABLE
;2TST787;;;;;;;;;;AVAILABLE
;2HGZ805;;;;;;;;;;AVAILABLE
;2HGT803;;;;;;;;;;AVAILABLE
;2SEL783;;;;;;;;;;AVAILABLE
;2TST817;;;;;;;;;;AVAILABLE
;2ZIL794;;;;;;;;;;AVAILABLE
;2HGT801;;;;;;;;;;AVAILABLE
;2HGT797;;;;;;;;;;AVAILABLE
;2SIL785;;;;;;;;;;AVAILABLE
;2TST813;;;;;;;;;;AVAILABLE
;2TIL791;;;;;;;;;;AVAILABLE
;2HGT809;;;;;;;;;;AVAILABLE
;2HGT789;;;;;;;;;;AVAILABLE
;2TST816;;;;;;;;;;AVAILABLE
;2TLF826;;;;;;;;;;AVAILABLE
;2TST818;;;;;;;;;;AVAILABLE
